PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Montesano, PM; Nelson, RF; Dubayah, RO; Sun, G; Cook, BD; Ranson, KJR; Ræsset, EN; Kharuk, V				Montesano, P. M.; Nelson, R. F.; Dubayah, R. O.; Sun, G.; Cook, B. D.; Ranson, K. J. R.; Raesset, E. N.; Kharuk, V.			The uncertainty of biomass estimates from LiDAR and SAR across a boreal forest structure gradient	REMOTE SENSING OF ENVIRONMENT												In this study, we examined the uncertainty of aboveground live biomass (AGB) estimates based on light detection and ranging (LiDAR) and synthetic aperture radar (SAR) measurements distributed across a low-biomass vegetation structure gradient from forest to non-forest in boreal-like ecosystems. The conifer-dominant structure gradient was compiled from ground data amassed from multiple field expeditions in central Maine (USA), Aurskog (Norway), and across central Siberia (Russia). Single variable empirical models were built to model AGB from remote sensing metrics. Using these models, we calculated a root mean square error (RMSE) and a 95% confidence interval (CI) of the RMSE from the difference between the remote sensing AGB predictions and the ground reference AGB estimates within AGB intervals across a 0-100 Mg ha(-1) boreal forest structure gradient. The results show that the error in AGB predictions (RMSE) and the error uncertainty (the CI) from LiDAR and SAR change across a forest gradient. The errors of airborne LiDAR and SAR metrics and spaceborne LiDAR platforms show a general trend of reduced relative errors as AGB magnitudes increase, particularly from 0 to 60 Mg ha(-1). Empirical models relating spaceborne metrics to AGB and estimates of spaceborne LiDAR error uncertainty demonstrate the difficulty of characterizing differences in AGB at the site-level with current spaceborne sensors, particularly below 80 Mg ha(-1) with less than 50-100% error. (C) 2014 Elsevier Inc. All rights reserved.					Cook, Bruce/M-4828-2013; Ranson, Kenneth/G-2446-2012	Næsset, Erik/0000-0002-2460-5843													0034-4257	1879-0704				NOV	2014	154				SI		398	407		10.1016/j.rse.2014.01.027	http://dx.doi.org/10.1016/j.rse.2014.01.027													WOS:000345201900034
J	Rodríguez-Veiga, P; Quegan, S; Carreiras, J; Persson, HJ; Fransson, JES; Hoscilo, A; Ziólkowski, D; Sterenczak, K; Lohberger, S; Stängel, M; Berninger, A; Siegert, F; Avitabile, V; Herold, M; Mermoz, S; Bouvet, A; Toan, TL; Carvalhais, N; Santoro, M; Cartus, O; Rauste, Y; Mathieu, R; Asner, GP; Thiel, C; Pathe, C; Schmullius, C; Seifert, FM; Tansey, K; Balzter, H				Rodriguez-Veiga, Pedro; Quegan, Shaun; Carreiras, Joao; Persson, Henrik J.; Fransson, Johan E. S.; Hoscilo, Agata; Ziolkowski, Dariusz; Sterenczak, Krzysztof; Lohberger, Sandra; Staengel, Matthias; Berninger, Anna; Siegert, Florian; Avitabile, Valerio; Herold, Martin; Mermoz, Stephane; Bouvet, Alexandre; Thuy Le Toan; Carvalhais, Nuno; Santoro, Maurizio; Cartus, Oliver; Rauste, Yrjo; Mathieu, Renaud; Asner, Gregory P.; Thiel, Christian; Pathe, Carsten; Schmullius, Chris; Seifert, Frank Martin; Tansey, Kevin; Balzter, Heiko			Forest biomass retrieval approaches from earth observation in different biomes	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												The amount and spatial distribution of forest aboveground biomass (AGB) were estimated using a range of regionally developed methods using Earth Observation data for Poland, Sweden and regions in Indonesia (Kalimantan), Mexico (Central Mexico and Yucatan peninsula), and South Africa (Eastern provinces) for the year 2010. These regions are representative of numerous forest biomes and biomass levels globally, from South African woodlands and savannas to the humid tropical forest of Kalimantan. AGB retrieval in each region relied on different sources of reference data, including forest inventory plot data and airborne LiDAR observations, and used a range of retrieval algorithms. This is the widest inter-comparison of regional-to-national AGB maps to date in terms of area, forest types, input datasets, and retrieval methods. The accuracy assessment of all regional maps using independent field data or LiDAR AGB maps resulted in an overall root mean square error (RMSE) ranging from 10 t ha(-1) to 55 t ha(-1) (37% to 67% relative RMSE), and an overall bias ranging from -1 t ha(-1) to +5 t ha(-1) at pixel level. The regional maps showed better agreement with field data than previously developed and widely used pan-tropical or northern hemisphere datasets. The comparison of accuracy assessments showed commonalities in error structures despite the variety of methods, input data, and forest biomes. All regional retrievals resulted in overestimation (up to 63 t ha(-1)) in the lower AGB classes, and underestimation (up to 85 t ha(-1)) in the higher AGB classes. Parametric model-based algorithms present advantages due to their low demand on in situ data compared to non-parametric algorithms, but there is a need for datasets and retrieval methods that can overcome the biases at both ends of the AGB range. The outcomes of this study should be considered when developing algorithms to estimate forest biomass at continental to global scale level.					Quegan, Shaun/ONI-9402-2025; Bouvet, Alexandre/H-4309-2019; Lohberger, Sana/J-7349-2016; Asner, Gregory/G-9268-2013; Frabsson, Johan/HKM-9613-2023; Herold, Martin/F-8553-2012; Thiel, Christian/AAU-8029-2021; Hoscilo, Agata/KHV-9485-2024; Asner, Gregory/G-9268-2013; Persson, Henrik/ABE-4211-2021; Balzter, Heiko/B-5976-2008; Rodriguez-Veiga, Pedro/R-9296-2019; Ziolkowski, Dariusz/AFI-4781-2022; Carreiras, Joao/B-4520-2008	Lohberger, Sana/0000-0002-6180-7372; Ziółkowski, Dariusz/0000-0002-1331-0919; Asner, Gregory/0000-0001-7893-6421; Hościło, Agata/0000-0003-3304-2445; Roiguez-Veiga, Peo/0000-0003-4845-4215; Herold, Martin/0000-0003-0246-6886; Asner, Gregory/0000-0001-7893-6421; mermoz, Stéphane/0000-0002-3166-7583; Persson, Henrik J/0000-0002-3403-057X; Rauste, Yrjö/0000-0001-5035-8228; Carvalhais, Nuno/0000-0003-0465-1436; Carreiras, Joao/0000-0003-2737-9420; Stereńczak, Krzysztof/0000-0002-9556-0144													1569-8432	1872-826X				MAY	2019	77						53	68		10.1016/j.jag.2018.12.008	http://dx.doi.org/10.1016/j.jag.2018.12.008													WOS:000460715900005
J	Lamahewage, SHG; Witharana, C; Riemann, R; Fahey, R; Worthley, T				Lamahewage, Shashika Himandi Gardeye; Witharana, Chandi; Riemann, Rachel; Fahey, Robert; Worthley, Thomas			Aboveground biomass estimation using multimodal remote sensing observations and machine learning in mixed temperate forest	SCIENTIFIC REPORTS												Plants sequester carbon in their aboveground components, making aboveground tree biomass a key metric for assessing forest carbon storage. Traditional methods of aboveground biomass (AGB) estimation via Forest Inventory and Analysis (FIA) plots lack sufficient sampling intensity to directly produce accurate estimates at fine granularities. Increasing the sampling intensity with additional FIA plots would be labor and time intensive, particularly for large-scale carbon studies. Utilizing remote sensing (RS) data, such as Airborne Light Detection and Ranging (LiDAR), aerial imagery, and satellite images can significantly enhance the efficiency of forest carbon monitoring efforts. The principal objective of this study is to utilize the random forest (RF) algorithm to build predictive AGB models. We utilized 67 explanatory variables, which were extracted from three RS sources resulting in nine RF models. Each RF model was subjected to variable selection, hyperparameter tuning, and model evaluation. The optimum model considered 28 explanatory variables, with root mean square error (RMSE) of 27.19 Mgha-1 and R2 of 0.41. Combining LiDAR with image metrics increased the accuracy of prediction models, serving as a pivotal tool for large area biomass mapping and carbon related decision making.					witharana, chandi/C-9074-2015														2045-2322					AUG 24	2025	15	1							31120	10.1038/s41598-025-15585-6	http://dx.doi.org/10.1038/s41598-025-15585-6								40850968					WOS:001556314600015
J	Hu, TY; Su, YJ; Xue, BL; Liu, J; Zhao, XQ; Fang, JY; Guo, QH				Hu, Tianyu; Su, Yanjun; Xue, Baolin; Liu, Jin; Zhao, Xiaoqian; Fang, Jingyun; Guo, Qinghua			Mapping Global Forest Aboveground Biomass with Spaceborne LiDAR, Optical Imagery, and Forest Inventory Data	REMOTE SENSING												As a large carbon pool, global forest ecosystems are a critical component of the global carbon cycle. Accurate estimations of global forest aboveground biomass (AGB) can improve the understanding of global carbon dynamics and help to quantify anthropogenic carbon emissions. Light detection and ranging (LiDAR) techniques have been proven that can accurately capture both horizontal and vertical forest structures and increase the accuracy of forest AGB estimation. In this study, we mapped the global forest AGB density at a 1-km resolution through the integration of ground inventory data, optical imagery, Geoscience Laser Altimeter System/Ice, Cloud, and Land Elevation Satellite data, climate surfaces, and topographic data. Over 4000 ground inventory records were collected from published literatures to train the forest AGB estimation model and validate the resulting global forest AGB product. Our wall-to-wall global forest AGB map showed that the global forest AGB density was 210.09 Mg/ha on average, with a standard deviation of 109.31 Mg/ha. At the continental level, Africa (333.34 +/- 63.80 Mg/ha) and South America (301.68 +/- 67.43 Mg/ha) had higher AGB density. The AGB density in Asia, North America and Europe were 172.28 +/- 94.75, 166.48 +/- 84.97, and 132.97 +/- 50.70 Mg/ha, respectively. The wall-to-wall forest AGB map was evaluated at plot level using independent plot measurements. The adjusted coefficient of determination (R-2) and root-mean-square error (RMSE) between our predicted results and the validation plots were 0.56 and 87.53 Mg/ha, respectively. At the ecological zone level, the R-2 and RMSE between our map and Intergovernmental Panel on Climate Change suggested values were 0.56 and 101.21 Mg/ha, respectively. Moreover, a comprehensive comparison was also conducted between our forest AGB map and other published regional AGB products. Overall, our forest AGB map showed good agreements with these regional AGB products, but some of the regional AGB products tended to underestimate forest AGB density.					Guo, Qinghua/B-7731-2012; Hu, Tianyu/AAB-4974-2021; Guo, Qinghua/B-7731-2012; Su, Yanjun/F-6719-2019; Liu, Jing/AAM-7323-2020	Guo, Qinghua/0000-0002-1065-0838; Guo, Qinghua/0000-0002-1065-0838; Su, Yanjun/0000-0001-7931-339X; 														2072-4292				JUL	2016	8	7							565	10.3390/rs8070565	http://dx.doi.org/10.3390/rs8070565													WOS:000382224800035
J	Narine, LL; Popescu, S; Neuenschwander, A; Zhou, T; Srinivasan, S; Harbeck, K				Narine, Lana L.; Popescu, Sorin; Neuenschwander, Amy; Zhou, Tan; Srinivasan, Shruthi; Harbeck, Kaitlin			Estimating aboveground biomass and forest canopy cover with simulated ICESat-2 data	REMOTE SENSING OF ENVIRONMENT												The Ice, Cloud and Land Elevation Satellite-2 (ICESat-2) launched on September 15th, 2018 and this mission offers an extraordinary opportunity to contribute to an assessment of forest resources at multiple spatial scales. This study served to develop a methodology for utilizing ICESat-2 data over vegetated areas. The specific objectives were to: (1) derive a simulated ICESat-2 photon-counting lidar (PCL) vegetation product using airborne lidar data, (2) examine the use of simulated PCL metrics for modelling aboveground biomass (AGB) along ICESat-2 profiles using a simulated ICESat-2 PCL vegetation product and reference AGB estimated from airborne lidar data, and (3) estimate forest canopy cover using simulated PCL canopy product data and airborne lidar-derived canopy cover. Using existing airborne lidar data for Sam Houston National Forest (SHNF) in Texas and known ICESat-2 track locations, PCL simulations were carried out. Three scenarios were analyzed in this study; 1) simulated data without the addition of noise, 2) processed simulated data for daytime, and 3) nighttime scenarios. Segments measuring 100 m along the proposed ICESat-2 tracks were used to extract simulated PCL metrics from each of the three data scenarios and spatially coincident, reference airborne lidar-estimated AGB and airborne lidar canopy cover estimates. Linear regression models were then developed with a subset of the simulated PCL segments to estimate AGB and canopy cover and their performance assessed using separate testing sets. AGB model testing with the simulated dataset without noise, nighttime and daytime scenarios resulted in R-2 values of 0.79, 0.79 and 0.63 respectively, with root mean square error (RMSE) values of 19.16 Mg/ha, 19.23 Mg/ha, and 25.35 Mg/ha. Predictive models for canopy cover (4.6 m) achieved R-2 values of 0.93, 0.75 and 0.63 and RMSE values of 6.36%, 12.33% and 15.01% for the simulated dataset without noise, nighttime and daytime scenarios respectively. Findings from this study suggest the potential of ICESat-2 for estimating AGB, given the photon detection rate and background noise anticipated by ICESat-2 under temperate forest settings, and especially in the data format provided by standard ICESat-2 data vegetation products.					; Popescu, Sorin/D-5981-2015; Zhou, Tan/U-3953-2019; Narine, Lana/AAM-5684-2020; Srinivasan, Shruthi/AAY-3388-2020	Neuenschwander, Amy/0000-0001-8184-5707; Narine, Lana/0000-0002-6125-7649; Popescu, Sorin/0000-0002-8155-8801; Zhou, Tan/0000-0002-9193-5113; 													0034-4257	1879-0704				APR	2019	224						1	11		10.1016/j.rse.2019.01.037	http://dx.doi.org/10.1016/j.rse.2019.01.037													WOS:000462421200001
J	Li, W; Niu, Z; Li, ZY; Wang, C; Wu, MQ; Muhammad, S				Li, Wang; Niu, Zheng; Li, Zengyuan; Wang, Cheng; Wu, Mingquan; Muhammad, Shakir			Upscaling coniferous forest above-ground biomass based on airborne LiDAR and satellite ALOS PALSAR data	JOURNAL OF APPLIED REMOTE SENSING												Forest above-ground biomass ( AGB) is an important indicator for understanding the global carbon cycle. It is hard to obtain a geographically and statistically representative AGB dataset, which is limited by unpredictable environmental conditions and high economical cost. A spatially explicit AGB reference map was produced by airborne LiDAR data and calibrated by field measurements. Three different sampling strategies were designed to sample the reference AGB, PALSAR backscatter, and texture variables. Two parametric and four nonparametric models were established and validated based on the sampled dataset. Results showed that random stratified sampling that used LiDAR-evaluated forest age as stratification knowledge performed the best in the AGB sampling. The addition of backscatter texture variables improved the parametric model performance by an R-2 increase of 21% and a root-mean-square error ( RMSE) decrease of 10 Mgha(-1). One of the four nonparametric models, namely, the random forest regression model, obtained comparable performance ( R-2 = 0.78, RMSE = 14.95 Mgha(-1)) to the parametric model. Higher estimation errors occurred in the forest stands with lower canopy cover or higher AGB levels. In conclusion, incorporating airborne LiDAR and PALSAR data was proven to be efficient in upscaling the AGB estimation to regional scale, which provides some guidance for future forest management over cold and arid areas. (C) 2016 Society of PhotoOptical Instrumentation Engineers (SPIE)					Wang, Chengyi/AAZ-2450-2021; Shakir, Muhammad/X-5919-2019; niu, zheng/M-9923-2017; Li, Wang/ABC-2320-2021	Li, Wang/0000-0003-1330-2019; 														1931-3195				OCT 17	2016	10								046003	10.1117/1.JRS.10.046003	http://dx.doi.org/10.1117/1.JRS.10.046003													WOS:000397623100001
C	Zhang, ZN; Cao, L; Shen, X; She, GH		Weng, Q; Gamba, P; Chang, NB; Wang, G; Yao, W		Zhang, Zhengnan; Cao, Lin; Shen, Xin; She, Guanghui			Predicting LiDAR-derived biomass distributions by Weibull models in a subtropical forest	2018 FIFTH INTERNATIONAL WORKSHOP ON EARTH OBSERVATION AND REMOTE SENSING APPLICATIONS (EORSA)	International Workshop on Earth Observation and Remote Sensing Applications				5th International Workshop on Earth Observation and Remote Sensing Applications (EORSA)	JUN 18-20, 2018	Xian, PEOPLES R CHINA	Xian Univ Sci & Technol, Changan Univ, Cent S Univ Forestry & Technol, Indiana State Univ, IEEE Geoscience & Remote Sensing Soc, Int Soc Photogrammetry & Remote Sensing, Grp Earth Observat, Beijing PIESAT Informat Technol Co Ltd, State Key Lab Geo Informat Engn, Xian Reconnaissance Inst Surveying & Mapping, MDPI, Remote Sensing Journal, Taylor & Francis Grp, CRC Press				Accurate information on aboveground biomass (AGB) distributions of individual trees is critical to support sustainable forest management, maintain regional carbon cycle and mitigate climate change. Light Detection and Ranging (LiDAR) is a promising active remote sensing technology can provide reliable estimates of forest parameters. Area-based approach (ABA) is appropriate for wall-to-wall estimation of these parameters. In this study, we employed an ABA estimates of AGB by predicting individual tree AGB distributions over a subtropical forest study site. The total plot-level AGB was firstly predicted and the prediction of individual tree AGB distributions was generated by a two-parameter Weibull function. Then the fitted Weibull parameters were further estimated by LiDAR metrics. In addition, all models were assessed by regressed against LiDAR metrics in coniferous forest models. Finally, the stem density for each plot was evaluated by the parameter retrieval method with predicted total AGB and mean tree AGB derived from predicted Weibull parameters of individual tree AGB distribution. The results showed that the AGB and two Weibull parameters were generally predicted well (R-2=0.79-0.92, rRMSE=8.46%-20.80%). For stem density estimation, the regressed model explained 76% of variability in field stem density. The relationship between predicted and reference AGB distributions when the predicted frequencies of the AGB distributions were scaled to ground-truth stem number (mean Reynolds error index e(R)=30.83) was relatively stronger than when predicted frequencies were scaled to stem number predicted from LiDAR data (mean e(R)=33.67). This study demonstrated the distributions of individual forest structural parameters can potentially contribute to enrich ABA forest attributes inventory for airborne LiDAR.					Shen, Xin/JBI-6913-2023; Zhang, Zhengnan/AAE-2730-2022														2380-8039		978-1-5386-6642-5				2018							304	308																WOS:000458838500062
J	Lutz, DA; Washington-Allen, RA; Shugart, HH				Lutz, David A.; Washington-Allen, Robert A.; Shugart, Herman H.			Remote sensing of boreal forest biophysical and inventory parameters: a review	CANADIAN JOURNAL OF REMOTE SENSING					Fall Meeting of the American-Geophysical-Union	DEC, 2006	San Francisco, CA	Amer Geophys Union				The growing need to manage vegetation resources at regional and global spatial scales has led to the increased use of remote sensing technologies among forestry scientists and managers for use in their investigation and supervision of forested landscapes. With an array of extant and developing airborne and satellite sensors, as well as multiple analysis techniques, there is a need to discern the most acceptable methods with which to examine remotely sensed imagery for forest ecosystem parameters. We have reviewed the literature on the remote sensing of boreal forests in order to determine if common frameworks for monitoring and assessing change in forest biophysical and inventory parameters could be developed. Other important remote sensing techniques such as those for change detection and land cover identification were also examined. Our review examined studies documented within the scientific literature that involved the extraction of information on forest parameters with remote sensing instruments. Primarily, we focused on studies within the boreal forest, which plays an important part in the Earth-atmosphere system and contributes significantly to the global economy through forest-derived products and resources. Additionally, the boreal forest has served as the primary investigation site for many important forest remote sensing discoveries. In this review, we considered the forest parameter that was examined, the remote sensing platform used, and the calibration and validation accuracies for the study. The most effective methodology for examining each parameter, considering spatial scale, is described. In general, a fusion of multiple sensors provided the most accurate approach for parameter extraction; however, this may not be the most appropriate methodology for all studies, due to spatial and temporal considerations. In each case, we attempted to consider which methodology works the best in a variety of scenarios.					; Lutz, David/HMO-5504-2023; Washington-Allen, Robert/AAG-1502-2019; Shugart, Herman/C-5156-2009; Shugart, Herman/C-5156-2009	Lutz, David/0000-0001-8780-7576; Shugart, Herman/0000-0002-1766-8379; Shugart, Herman/0000-0002-1766-8379													0703-8992	1712-7971					2008	34			2			S286	S313		10.5589/m08-057	http://dx.doi.org/10.5589/m08-057													WOS:000261858800007
J	Zhen, Z; Yang, L; Ma, Y; Wei, QB; Il Jin, H; Zhao, YH				Zhen, Zhen; Yang, Lan; Ma, Ye; Wei, Qingbin; Il Jin, Hung; Zhao, Yinghui			Upscaling aboveground biomass of larch (Larix olgensis Henry) plantations from field to satellite measurements: a comparison of individual tree-based and area-based approaches	GISCIENCE & REMOTE SENSING												Currently, aboveground biomass (AGB) estimation primarily relies on an area-based approach (ABA), particularly at a large scale. With the advancement of individual tree detection techniques and the availability of multi-platform remotely sensed data, the individual tree-based approach (ITA) provides the potential of accurate and nondestructive fine AGB mapping. However, the performances of the two approaches on upscaling AGB from individual tree to stand level have not been thoroughly investigated. This study conducted the nondestructive AGB estimation using both ITA and ABA and compared the AGB estimates and their spatial uncertainties from an individual tree- to stand-level based on multi-platform LiDAR and Landsat 8 OLI imagery, taking Larix olgensis that is one of the most notable afforestation tree species in northeastern China as an example. Results showed that the point cloud segmentation (PCS) outperformed CHM-based individual tree crown delineation algorithms and obtained the highest accuracy of individual tree AGB estimate (R-2 = 0.97, RMSE = 28.58 kg, rRMSE = 21.13%) for the dense larch plantations (about 1265 trees/ha). The plot-level AGB estimate aggregated by all detected trees and its uncertainty based on Monte Carlo simulation were 158.16 and 3.64 Mg center dot ha(-1), respectively. The average pixel-level AGB of larch plantations in Maorshan Forest Farm estimated by ITA and ABA were similar (129.66 v.s 144.38 Mg center dot ha(-1)). ITA outperformed ABA in terms of pixel-level AGB accuracy and spatial uncertainty of pixel-level and stand-level AGB estimates. The overestimation of low AGB values, typical in ABA, was effectively eliminated by the ITA. The upscaling frameworks proposed in this study for AGB estimation and spatial uncertainty quantification based on ITA and ABA could be extended to other plantations or uncomplex forests. This study contributes to the accurate quantification of AGB and understanding of the uncertainties in the carbon stock of forest ecosystems at multi-scales.					; Ma, Ye/IWD-8212-2023	Ma, Ye/0000-0002-6476-6967; zhao, yinghui/0000-0002-1933-8357													1548-1603	1943-7226				DEC 31	2022	59	1					722	743		10.1080/15481603.2022.2055381	http://dx.doi.org/10.1080/15481603.2022.2055381													WOS:000778742200001
J	Takagi, K; Yone, Y; Takahashi, H; Sakai, R; Hojyo, H; Kamiura, T; Nomura, M; Liang, NS; Fukazawa, T; Miya, H; Yoshida, T; Sasa, K; Fujinuma, Y; Murayama, T; Oguma, H				Takagi, Kentaro; Yone, Yasumichi; Takahashi, Hiroyuki; Sakai, Rei; Hojyo, Hajime; Kamiura, Tatsuya; Nomura, Mutsumi; Liang, Naishen; Fukazawa, Tatsuya; Miya, Hisashi; Yoshida, Toshiya; Sasa, Kaichiro; Fujinuma, Yasumi; Murayama, Takeshi; Oguma, Hiroyuki			Forest biomass and volume estimation using airborne LiDAR in a cool-temperate forest of northern Hokkaido, Japan	ECOLOGICAL INFORMATICS												Trees are recognized as a carbon reservoir, and precise and convenient methods for forest biomass estimation are required for adequate carbon management Airborne light detection and ranging (LiDAR) is considered to be one of the solutions for large-scale forest biomass evaluation. To clarify the relationship between mean canopy height determined by airborne LiDAR and forest timber volume and biomass of cool-temperate forests in northern Hokkaido, Japan, we conducted LiDAR observations covering the total area of the Teshio Experimental Forest (225 km(2)) of Hokkaido University and compared the results with ground surveys and previous studies. Timber volume and aboveground tree carbon content of the studied forest stands ranged from 101.43 to 480.40 m(3) ha(-1) and from 30.78 to 180.54 MgC ha-1, respectively. The LiDAR mean canopy height explained the variation among stands well (volume: r(2) = 0.80, RMSE = 55.04 m(3) ha(-1); aboveground tree carbon content: = 0.78, RMSE = 19.10 MgC ha(-1)) when one simple linear regression equation was used for all types (hardwood, coniferous, and mixed) of forest stands. The determination of a regression equation for each forest type did not improve the prediction power for hardwood (volume: r(2) = 0.84, RMSE = 62.66 m(3) ha(-1); aboveground tree carbon content: r(2) = 0.76, RMSE = 27.05 MgC ha(-1)) or coniferous forests (volume: r(2) = 0.75, RMSE = 51.07 m(3) ha(-1); aboveground tree carbon content: r(2) = 0.58, RMSE = 19.00 MgC ha(-1)). Thus, the combined regression equation that includes three forest types appears to be adequate for practical application to large-scale forest biomass estimation. (C) 2015 Elsevier B.V. All rights reserved.					Takagi, Kentaro/C-2222-2012; Liang, Naishen/H-8284-2018														1574-9541	1878-0512				MAR	2015	26		3				54	60		10.1016/j.ecoinf.2015.01.005	http://dx.doi.org/10.1016/j.ecoinf.2015.01.005													WOS:000353744700006
J	Pflugmacher, D; Cohen, WB; Kennedy, RE; Yang, ZQ				Pflugmacher, Dirk; Cohen, Warren B.; Kennedy, Robert E.; Yang, Zhiqiang			Using Landsat-derived disturbance and recovery history and lidar to map forest biomass dynamics	REMOTE SENSING OF ENVIRONMENT												Improved monitoring of forest biomass and biomass change is needed to quantify natural and anthropogenic effects on the terrestrial carbon cycle. Landsat's temporal and spatial coverage, moderate spatial resolution, and long history of earth observations provide a unique opportunity for characterizing vegetation changes across large areas and long time scales. However, like with other multi-spectral passive optical sensors, Landsat's relationship of single-date reflectance with forest biomass diminishes under high leaf area and complex canopy conditions. Because the condition of a forest stand at any point in time is largely determined by its disturbance and recovery history, we conceived a method that enhances Landsat's spectral relationships with biomass by including information on vegetation trends prior to the date for which estimates are desired. With recently developed algorithms that characterize trends in disturbance (e.g. year of onset, duration, and magnitude) and post-disturbance regrowth, it should now be possible to realize improved Landsat-based mapping of current biomass across large regions. Moreover, given that we now have 40 years of Landsat data, it should also be possible to use this approach to map historic biomass densities. In this study, we developed regression tree models to predict current forest aboveground biomass (AGB) for a mixed-conifer region in eastern Oregon (USA) using Landsat-based disturbance and recovery (DR) metrics. We employed the trajectory-fitting algorithm LandTrendr to characterize DR trends from yearly Landsat time series between 1972 and 2010. The most important DR predictors of AGB were associated with magnitude of disturbance, post-disturbance condition and post-disturbance recovery, whereas time since disturbance and pre-disturbance trends showed only weak correlations with AGB. Including DR metrics substantially improved predictions of AGB (RMSE = 30.3 Mg ha(-1), 27%) compared to models based on only single-date reflectance (RMSE = 39.6 Mg ha(-1), 35%). To determine the number of years required to adequately capture the effect of DR on AGB, we explored the relationship between time-series length and model prediction accuracy. Prediction accuracy increased exponentially with increasing number of years across the entire observation period, suggesting that in this forest region the longer the historic record of disturbance and recovery metrics the more accurate the mapping of AGB. However, time series lengths of between 10 and 20 years were adequate to significantly improve model predictions, and lengths of as little as 5 years still had a meaningful impact To test the concept of historic biomass prediction, we applied our model to Landsat time series from 1972-1993 and estimated AGB biomass change between 1993 and 2007. Our estimates compared well with historic inventory data, demonstrating that long-term Landsat observations of DR processes can aid in monitoring AGB and AGB change. Instead of directly linking Landsat data with the limited amount of available field-based AGB data, in this study we used the field data to map AGB with airborne lidar and then sampled the lidar data for model training and error assessment By using lidar data to build and test our prediction model, this study illustrates that lidar data have great value for scaling between field measurements and Landsat data. (C) 2013 Elsevier Inc All rights reserved.						Pflugmacher, Dirk/0000-0002-2226-4029													0034-4257	1879-0704				AUG	2014	151				SI		124	137		10.1016/j.rse.2013.05.033	http://dx.doi.org/10.1016/j.rse.2013.05.033													WOS:000342264000011
J	Sothe, C; Gonsamo, A; Lourenço, RB; Kurz, WA; Snider, J				Sothe, Camile; Gonsamo, Alemu; Lourenco, Ricardo B.; Kurz, Werner A.; Snider, James			Spatially Continuous Mapping of Forest Canopy Height in Canada by Combining GEDI and ICESat-2 with PALSAR and Sentinel	REMOTE SENSING												Continuous large-scale mapping of forest canopy height is crucial for estimating and reporting forest carbon content, analyzing forest degradation and restoration, or to model ecosystem variables such as aboveground biomass. Over the last years, the spaceborne Light Detection and Ranging (LiDAR) sensor specifically designed to acquire forest structure information, Global Ecosystem Dynamics Investigation (GEDI), has been used to extract forest canopy height information over large areas. Yet, GEDI has no spatial coverage for most forested areas in Canada and other high latitude regions. On the other hand, the spaceborne LiDAR called Ice, Cloud, and Land Elevation Satellite-2 (ICESat-2) provides a global coverage but was not specially developed to study forested ecosystems. Nonetheless, both spaceborne LiDAR sensors obtain point-based information, making spatially continuous forest canopy height estimation very challenging. This study compared the performance of both spaceborne LiDAR, GEDI and ICESat-2, combined with ALOS-2/PALSAR-2 and Sentinel-1 and -2 data to produce continuous canopy height maps in Canada for the year 2020. A set-aside dataset and airborne LiDAR (ALS) from a national LiDAR campaign were used for accuracy assessment. Both maps overestimated canopy height in relation to ALS data, but GEDI had a better performance than ICESat-2 with a mean difference (MD) of 0.9 m and 2.9 m, and a root mean square error (RMSE) of 4.2 m and 5.2 m, respectively. However, as both GEDI and ALS have no coverage in most of the hemi-boreal forests, ICESat-2 captures the tall canopy heights expected for these forests better than GEDI. PALSAR-2 HV polarization was the most important covariate to predict canopy height, showing the great potential of L-band in comparison to C-band from Sentinel-1 or optical data from Sentinel-2. The approach proposed here can be used operationally to produce annual canopy height maps for areas that lack GEDI and ICESat-2 coverage.					Barros Lourenço, Ricardo/JMP-3883-2023; Sothe, Camile/ABB-7100-2020; Gonsamo, Alemu/D-1795-2010	Barros Lourenço, Ricardo/0000-0002-4158-3244; Sothe, Camile/0000-0001-5259-3838; Kurz, Werner/0000-0003-4576-7849; Snider, James/0000-0003-4500-8121; Gonsamo, Alemu/0000-0002-2461-618X														2072-4292				OCT	2022	14	20							5158	10.3390/rs14205158	http://dx.doi.org/10.3390/rs14205158													WOS:000873699100001
